ID,"By agreeing to take part in this survey, you confirm that you have read, understood and agreed with the following statements. Please note that this survey will skip to the end if you disagree to take part: 
 
 _I agree that data gathered in this study will be stored anonymously and securely, and will be used for research purposes only. _
 
 _I understand that my participation is voluntary and that I am free to withdraw at any time without giving reason. _
 
 _I understand that all personal information will remain confidentially within OLIO's database, and that no personally identifiable information will be shared with any third party, and that no data will be made available that can allow me to be personally identified in the results of this research. _
 
 _I am 18 years of age or older. _
 
 I agree to take part in this survey:",How would you describe your gender?,What range best describes your age group?,Do you have any physical or mental health conditions or illnesses that are limiting your day to day activities?,Which of the following best describes your household?,"In general, how satisfied are you with your life?","Compared to others in my neighbourhood, I think my life overall is...",How often do you feel that you lack companionship?,How often do you feel isolated from others or left out?,To what extent are you able to turn to friends and family for help when you need it?,"How much do you agree with the following statement? 
 
 Generally, I borrow things and exchange favours with my neighbours.",Foodbank,Neighbours,Close family or friends,Community or faith group,None of the above,Other,"The next questions are about your household's diet in the past 12 months, since October of last year, and whether you were able to afford the food you needed. In the past 12 months, was the following statement true for you?
 
 We worried whether our food would run out before we got money to buy more.","The food that we bought just didn't last, and we didn't have money to get more.",We couldn't afford to eat balanced meals.,Did you or other adults in your household ever cut the size of your meals or skip meals because there wasn't enough money for food?,How often did this happen?,Did you ever eat less than you felt you should because there wasn't enough money for food?,Were you ever hungry but didn't eat because there wasn't enough money for food?,Did you lose weight because there wasn't enough money for food?,Did you or other adults in your household ever not eat for a whole day because there wasn't enough money for food?,How often did this happen?,"The next questions are about the food situation of your children. In the past 12 months, was the following statement true for you? 
 
 We relied on only a few kinds of low-cost food to feed our children because we were running out of money to buy food.","We couldn't feed our children a balanced meal, because we couldn't afford that.",The children were not eating enough because we just couldn't afford enough food.,Did you ever cut the size of any of the children's meals because there wasn't enough money for food?,Did any of the children ever skip meals because there wasn't enough money for food?,How often did this happen?,Were the children ever hungry but you just couldn't afford more food?,Did any of the children ever not eat for a whole day because there wasn't enough money for food?,household_food_security_label,Which of the following best describes the house you currently live in?,Other,Do you know the Energy Performance Certificate (EPC) rating for the house you currently live in?,Do you use a prepayment or pay-as-you-go meter to pay for your energy usage?,"The following questions are about challenges your household may have had paying energy bills or maintaining heating in your home in the past 12 months. 
 
 How frequently did your household reduce or forego expenses for basic household necessities, such as medicine or food, in order to pay an energy bill?","In the past year, how frequently did your household keep your home at a cold temperature that you felt was unsafe or unhealthy?","In the past year, how frequently did your household run behind on payments for energy bills, or receive a notice to disconnect?","In the last year, was there ever a time your household was unable to use your main source of heat because you could not afford to pay for gas or electricity?",About how many days over the past year has your household gone without heat because you could not afford to pay for gas or electricity?,"In the last year, was there ever a time your household was unable to use your main source of heat because the equipment was broken, and you couldn't afford to pay to repair or replace the equipment?","In the past year, did anyone in your household need medical attention because your home was too cold?",FS1,FS2,FS3,FS4,FS5,FS6,FS7,fuel-security_label,fuel-security_score,"In the past year, how often did you worry about making energy payments?","In the past year, how often did you worry about making rent/ mortgage payments?",Consider your grocery shopping habits in the past 12 months. How often have you avoided food that requires cooking to reduce energy usage?,Working full-time,Working part-time,Unemployed,Retired,Not working- looking after house/ children,Not working- long term sick or disabled,Student,Other,What is your annual household income before tax?,user_id,Start Date (UTC),Submit Date (UTC),response_time,survey_date,incentivised,lad_code,msoa_code,imd_decile
kleulx0xmjt9cwkleulxe03xcwgqlltn,1,Female,45 to 49,No,Living on my own (NO children or children have left home),5,Worse,Some of the time,Some of the time,To some extent,Tend to disagree,,,,,,Olio,Sometimes true,Sometimes true,Sometimes true,No,,Yes,Yes,No,No,,,,,,,,,,Low food security,Renting from private landlord,,D,No,Almost every month,Almost every month,Never,0,,0,0,,,,,,,,Low fuel-security,0,Almost every month,Almost every month,Almost every month,Working full-time,,,,,,,,"£14,901- £24,300 p.a.",2787331,23/11/2022 23:41,23/11/2022 23:53,12,22/11/2022,1,E09000021,E02000608,6
kltl42qs6m9rylguiwkltqa0wg11odqk,1,Female,45 to 49,No,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",7,Worse,Some of the time,Some of the time,To some extent,Definitely disagree,,,,,None of the above,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Buying the house on a mortgage,,Don't know,Yes,Never,Never,Never,0,,0,0,,,,,,,,High fuel-security,0,Never,1 or 2 months,1 or 2 months,,Working part-time,,,,,,,Prefer not to say,4245658,27/11/2022 12:53,27/11/2022 12:58,5,27/11/2022,1,E09000005,E02000096,8
km1otlgodr7okk6xkm1otlgnr6q7d15m,1,Male,40 to 44,No,"Living with other adults that are non-family members, such as friends/ flatmates",9,Better,Some of the time,Hardly ever or never,To a large extent,Definitely disagree,,,,,None of the above,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Renting from private landlord,,Don't know,Don't know,Never,Never,Never,0,,0,0,,,,,,,,High fuel-security,0,Never,Never,Never,Working full-time,,,,,,,,"More than £58,900 p.a.",6254483,28/11/2022 07:50,28/11/2022 07:54,4,27/11/2022,1,E09000032,E02000939,10
kmam9dzxoed6f7hjl2cg8noqwxkmam9d,1,Female,35 to 39,No,Living with partner/ spouse (NO children or children have left home),5,Worse,Hardly ever or never,Hardly ever or never,To some extent,Definitely agree,,Neighbours,Close family or friends,,,,Sometimes true,Sometimes true,Sometimes true,No,,No,No,No,No,,,,,,,,,,Low food security,Buying the house on a mortgage,,Don't know,No,1 or 2 months,Some months but not every month,Never,0,,0,0,,,,,,,,Marginal fuel-security,0,Some months but not every month,Almost every month,Almost every month,,Working part-time,,,,,,,"Less than £14,900 p.a.",4052447,22/11/2022 16:36,22/11/2022 16:41,5,22/11/2022,1,E09000024,E02000700,7
kne3s6e8pyf2gagxdfljtoaukne3s6ec,1,Female,50 to 54,Yes,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",6,The same,Hardly ever or never,Hardly ever or never,To some extent,Tend to agree,,Neighbours,Close family or friends,,,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Owning the house outright,,Don't know,No,Never,1 or 2 months,Never,0,,0,0,,,,,,,,High fuel-security,0,Never,,Never,,,,,,Not working- long term sick or disabled,,Phased return to work,"More than £58,900 p.a.",6594267,22/11/2022 18:41,22/11/2022 18:46,5,22/11/2022,1,E09000029,E02000859,10
koa4ytt0owttrvuixlwuuckoa4yxtnrs,1,Female,20 to 24,No,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",7,The same,Some of the time,Often,To some extent,Tend to disagree,,,Close family or friends,,,,Sometimes true,Never true,Never true,No,,No,No,No,No,,,,,,,,,,Marginal food security,Owning the house outright,,Don't know,No,Never,Some months but not every month,Never,0,,0,0,,,,,,,,Marginal fuel-security,0,Never,,Never,,,Unemployed,,,,,,"Less than £14,900 p.a.",2132798,22/11/2022 19:18,22/11/2022 19:21,3,22/11/2022,1,E09000029,E02000856,6
kombzo2la4eo7tbd7o8nkombk9erd64n,1,Female,35 to 39,No,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",8,Better,Often,Hardly ever or never,To a large extent,Definitely disagree,,,,,None of the above,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Living in rented accommodation arranged by the Local Authority,,Don't know,No,Never,Never,Never,0,,0,0,,,,,,,,High fuel-security,0,Never,Never,Never,Working full-time,,,,,,,,"More than £58,900 p.a.",466543,22/11/2022 16:57,22/11/2022 17:06,9,22/11/2022,1,E09000030,E02000879,3
kph22zrl70qwgnk2h76gkph22zt4sym3,1,Female,50 to 54,No,Living with partner/ spouse (NO children or children have left home),9,Better,Hardly ever or never,Hardly ever or never,To some extent,Tend to agree,,,,,None of the above,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Buying the house on a mortgage,,B,No,Never,Never,Never,0,,0,0,,,,,,,,High fuel-security,0,1 or 2 months,Never,Some months but not every month,Working full-time,,,,,,,,"More than £58,900 p.a.",5525771,22/11/2022 15:53,22/11/2022 15:56,3,22/11/2022,0,E09000021,E02000616,8
ks03ees2s1wpks0j37cmgjsgy12xc0r5,1,Male,65 to 69,Yes,Living with partner/ spouse (NO children or children have left home),5,Worse,Often,Often,To some extent,Tend to agree,,,,,,OlIo,Sometimes true,Sometimes true,Sometimes true,Yes,Some months but not every month,Yes,Yes,Yes,Yes,,,,,,,,,,Very low food security,Owning the house outright,,Don't know,No,Some months but not every month,Some months but not every month,Some months but not every month,0,,0,1,,,,,,,,Low fuel-security,0,Some months but not every month,,Some months but not every month,Working full-time,,,,,,,,"Less than £14,900 p.a.",1590413,22/11/2022 19:38,22/11/2022 19:50,12,22/11/2022,1,E09000018,E02000551,2
ks3fuo52ibj84vks3flpslm0dc78r9e7,1,Female,35 to 39,Yes,"Living with other adults that are non-family members, such as friends/ flatmates",2,Much worse,Often,Often,To some extent,Definitely disagree,,,,,,Olio,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Renting from private landlord,,Don't know,Yes,Some months but not every month,Almost every month,Never,0,,0,0,,,,,,,,Low fuel-security,0,Some months but not every month,Some months but not every month,Some months but not every month,Working full-time,,,,,,,,"More than £58,900 p.a.",6467305,22/11/2022 17:20,22/11/2022 17:24,4,22/11/2022,1,E09000018,E02000526,8
kt6hdhv1cioufvsqtrkt6hdyjcqkhmh7,1,Female,60 to 64,No,Living on my own (NO children or children have left home),8,The same,Hardly ever or never,Some of the time,To a large extent,Tend to agree,,,,,None of the above,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Owning the house outright,,Don't know,No,Never,Never,Never,0,,0,0,,,,,,,,High fuel-security,0,Never,,1 or 2 months,,,,Retired,,,,,Prefer not to say,6117998,24/11/2022 14:44,24/11/2022 14:48,4,22/11/2022,1,E09000023,E02000657,4
ktf5xxvxxg8jtyn51m2c6ktf5xxir5h2,1,Male,50 to 54,No,Living on my own (NO children or children have left home),8,Much better,Some of the time,Some of the time,Not at all,Tend to agree,,,,,None of the above,,Sometimes true,Sometimes true,Sometimes true,No,,No,No,No,No,,,,,,,,,,Low food security,Living in rented accommodation from Housing Association,,Don't know,No,1 or 2 months,Some months but not every month,Never,1,30,0,0,,,,,,,,Marginal fuel-security,0,Some months but not every month,Some months but not every month,Some months but not every month,,Working part-time,,,,,,,"Less than £14,900 p.a.",6109610,22/11/2022 15:38,22/11/2022 15:45,7,22/11/2022,1,E09000033,E02000973,8
ktvz5zrrvix1c2fhpktvz5waseslft08,1,Female,25 to 29,No,Living with partner/ spouse (NO children or children have left home),8,Better,Hardly ever or never,Some of the time,To a large extent,Tend to disagree,,,,,None of the above,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Renting from private landlord,,C,No,Never,Never,Never,0,,0,0,,,,,,,,High fuel-security,0,Never,Never,Never,Working full-time,,,,,,,,"£37,901- £58,900 p.a.",5358853,23/11/2022 07:23,23/11/2022 07:29,6,22/11/2022,1,E09000007,E02000173,7
ku916m4m1z6nobku91vmyvbxa3g5sq6x,1,Female,35 to 39,No,Living on my own (NO children or children have left home),9,The same,Hardly ever or never,Hardly ever or never,To a large extent,Tend to agree,,,,,None of the above,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Renting from private landlord,,Don't know,Yes,Never,Never,Never,0,,0,0,,,,,,,,High fuel-security,0,Never,Never,Never,Working full-time,,,,,,,,"More than £58,900 p.a.",5393464,22/11/2022 16:00,22/11/2022 16:02,2,22/11/2022,1,E09000025,E02000726,3
ku9zjk1pnp6kwy6vxaku9zjkn3s2jmob,1,Female,35 to 39,No,"Living with other adults that are non-family members, such as friends/ flatmates",3,The same,Some of the time,Some of the time,Not at all,Tend to disagree,,,,,None of the above,,Sometimes true,Sometimes true,Sometimes true,Yes,Some months but not every month,Yes,Yes,Yes,No,,,,,,,,,,Very low food security,Renting from private landlord,,Don't know,No,1 or 2 months,Some months but not every month,Never,0,,0,0,,,,,,,,Marginal fuel-security,0,1 or 2 months,1 or 2 months,Some months but not every month,Working full-time,,,,,,,,"£24,301- £37,900 p.a.",415131,27/11/2022 13:48,27/11/2022 13:50,2,27/11/2022,1,E09000022,E02000635,4
kujhbriqkkhvfkit6kujhbucjdse6pd7,1,Female,60 to 64,Prefer not to say,Living with partner/ spouse (NO children or children have left home),8,Better,Some of the time,Hardly ever or never,Not at all,Tend to disagree,,,,,,Olio,Sometimes true,Never true,Never true,No,,No,No,No,No,,,,,,,,,,Marginal food security,Buying the house on a mortgage,,Don't know,No,1 or 2 months,Almost every month,1 or 2 months,1,200,1,0,,,,,,,,Low fuel-security,0,Almost every month,Some months but not every month,Never,,,,Retired,,,,,"Less than £14,900 p.a.",6028871,22/11/2022 16:09,22/11/2022 16:15,6,22/11/2022,1,E09000005,E02000120,3
kv0vvr6ygsldznt6ki8kv0vv8zxmx070,1,Female,65 to 69,Yes,Living on my own (NO children or children have left home),7,The same,Some of the time,Some of the time,To some extent,Tend to agree,,,Close family or friends,,,,Sometimes true,Never true,Sometimes true,Yes,Some months but not every month,No,No,Yes,No,,,,,,,,,,Low food security,Living in rented accommodation arranged by the Local Authority,,Don't know,No,Never,Never,Never,0,,0,0,,,,,,,,High fuel-security,0,Some months but not every month,Some months but not every month,Some months but not every month,,,,Retired,,,,,"£14,901- £24,300 p.a.",5584815,22/11/2022 17:18,22/11/2022 17:23,5,22/11/2022,1,E09000013,E02000394,5
kv9u9vh7b2w07b4t87pdkv9u9vft2vrc,1,Female,30 to 34,No,Living with partner/ spouse (NO children or children have left home),7,The same,Some of the time,Some of the time,To a large extent,Tend to agree,,,,,None of the above,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Renting from private landlord,,D,No,Never,1 or 2 months,Never,0,,0,0,,,,,,,,High fuel-security,0,1 or 2 months,1 or 2 months,1 or 2 months,Working full-time,,,,,,,,"More than £58,900 p.a.",2606093,23/11/2022 17:10,23/11/2022 17:13,3,22/11/2022,1,E09000018,E02000533,7
kwdd0d6xljyb2himzkwdd0d6l2siep33,1,Female,50 to 54,No,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",5,The same,Often,Often,Not at all,Tend to disagree,,,,,,Olio,Often true,Sometimes true,Often true,Yes,Almost every month,Yes,Yes,Yes,Yes,,,,,,,,,,Very low food security,Living in rented accommodation arranged by the Local Authority,,Don't know,No,Almost every month,Almost every month,Some months but not every month,1,365,0,0,,,,,,,,Low fuel-security,0,Almost every month,Some months but not every month,Almost every month,,,,,Not working- looking after house/ children,,,,"Less than £14,900 p.a.",2677793,27/11/2022 18:51,27/11/2022 18:58,7,27/11/2022,0,E09000011,E02000343,7
kwkk2w0ogwyu3tbefm2hkwkk71vnn05q,1,Prefer not to say,50 to 54,Prefer not to say,"Living with other adults that are non-family members, such as friends/ flatmates",5,Worse,Often,Often,To some extent,Tend to agree,,,,,None of the above,,Sometimes true,Sometimes true,Sometimes true,Yes,Some months but not every month,Yes,Yes,Yes,Yes,,,,,,,,,,Very low food security,Renting from private landlord,,D,Yes,Some months but not every month,Almost every month,Never,0,,0,0,,,,,,,,Low fuel-security,0,Almost every month,Some months but not every month,Some months but not every month,Working full-time,,,,,,,,Prefer not to say,5538536,24/11/2022 19:07,24/11/2022 19:18,11,22/11/2022,1,E09000010,E02000312,8
kxcyndt1meqvmrx07fn2kxcyndtvolas,1,Female,35 to 39,No,"Living with other adults that are non-family members, such as friends/ flatmates",7,The same,Some of the time,Hardly ever or never,To a large extent,Definitely agree,,Neighbours,Close family or friends,,,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Renting from private landlord,,D,No,Never,1 or 2 months,Never,0,,0,0,,,,,,,,High fuel-security,0,1 or 2 months,Never,Never,Working full-time,,,,,,,,"£14,901- £24,300 p.a.",5415929,27/11/2022 20:38,27/11/2022 20:44,6,27/11/2022,1,E09000032,E02000944,4
kykesgpxz77oq9rqv0kyke5r0c1lcv1f,1,Female,50 to 54,No,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",8,The same,Some of the time,Some of the time,To some extent,Tend to disagree,,,Close family or friends,,,,Sometimes true,Sometimes true,Never true,No,,Yes,No,No,No,,,,,,,,,,Low food security,Living in rented accommodation from Housing Association,,Don't know,Yes,Some months but not every month,Some months but not every month,Almost every month,0,,1,1,,,,,,,,Very low fuel-security,0,Some months but not every month,Almost every month,Some months but not every month,Working full-time,,,,,,,,"£14,901- £24,300 p.a.",5086405,03/12/2022 14:36,03/12/2022 14:45,9,03/12/2022,1,E09000009,E02000260,2
l025dsvc3xvwo0dgal025057rw85podq,1,Female,40 to 44,Yes,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",5,Worse,Some of the time,Some of the time,To some extent,Tend to agree,,,,,None of the above,,Sometimes true,Sometimes true,Never true,Yes,Only 1 or 2 months,No,No,No,No,,,,,,,,,,Low food security,Renting from private landlord,,Don't know,No,Some months but not every month,1 or 2 months,1 or 2 months,1,25,0,0,,,,,,,,Marginal fuel-security,0,Some months but not every month,Almost every month,Never,,,,,,Not working- long term sick or disabled,,,Prefer not to say,922842,22/11/2022 16:06,22/11/2022 16:12,6,22/11/2022,1,E09000032,E02000948,7
l0olc4wauojvulub0y39l0obd6qmpm42,1,Female,45 to 49,No,Living with partner/ spouse (NO children or children have left home),9,Better,Hardly ever or never,Hardly ever or never,Not at all,Tend to agree,,,,,None of the above,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Owning the house outright,,Don't know,No,Never,Never,Never,0,,0,0,,,,,,,,High fuel-security,0,1 or 2 months,,Never,Working full-time,,,,,,,,Prefer not to say,6336007,27/11/2022 18:01,27/11/2022 18:06,5,27/11/2022,1,E09000019,E02000561,5
l2reqnuyop12d0l16l2rq9g3jdg6bvc6,1,Female,45 to 49,No,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",3,Worse,Some of the time,Often,Not at all,Tend to disagree,,,,,None of the above,,Never true,Never true,Sometimes true,Yes,Some months but not every month,Yes,Yes,No,No,,,,,,,,,,Low food security,Buying the house on a mortgage,,Don't know,No,Some months but not every month,Never,Never,0,,0,0,,,,,,,,Marginal fuel-security,0,Some months but not every month,Almost every month,Almost every month,Working full-time,,,,,,,,"£37,901- £58,900 p.a.",1437845,27/11/2022 12:54,27/11/2022 12:57,3,27/11/2022,1,E09000009,E02000252,5
l30knsjcpa76c48d94il30knxvl0eivc,1,Male,45 to 49,No,"Living with other adults that are non-family members, such as friends/ flatmates",6,The same,Some of the time,Some of the time,To some extent,Tend to disagree,,,,,None of the above,,Never true,Never true,Sometimes true,No,,No,No,No,No,,,,,,,,,,Marginal food security,Renting from private landlord,,Don't know,Don't know,1 or 2 months,Never,Never,0,,0,0,,,,,,,,High fuel-security,0,1 or 2 months,1 or 2 months,1 or 2 months,,Working part-time,,,,,,,Prefer not to say,1521004,22/11/2022 19:15,22/11/2022 19:20,5,22/11/2022,1,E09000012,E02000371,2
l34q1cynwmyh4b7arl31cmhwidw3rm1y,1,Female,75 to 79,Yes,Living on my own (NO children or children have left home),10,The same,Hardly ever or never,Hardly ever or never,To a large extent,Tend to disagree,,,,,None of the above,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Owning the house outright,,Don't know,No,Never,1 or 2 months,Never,0,,0,0,,,,,,,,High fuel-security,0,Some months but not every month,,Never,,,,Retired,,,,,Prefer not to say,2619546,22/11/2022 17:05,22/11/2022 17:16,11,22/11/2022,0,E09000015,E02006882,7
l3ijunwrqcfrzng589hooml3ijhnk947,1,Female,50 to 54,Yes,Living on my own (NO children or children have left home),6,Worse,Often,Some of the time,To a large extent,Tend to disagree,,,,,None of the above,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Buying the house on a mortgage,,Don't know,No,1 or 2 months,Some months but not every month,Never,1,28,0,0,,,,,,,,Marginal fuel-security,0,Almost every month,Never,Never,Working full-time,,,,,,,,"£37,901- £58,900 p.a.",2476906,27/11/2022 15:06,27/11/2022 15:10,4,27/11/2022,0,E09000006,E02000161,7
l3jbx75307g8raj60il3jo1cdyct126o,1,Female,25 to 29,No,"Living with other adults that are non-family members, such as friends/ flatmates",8,The same,Some of the time,Some of the time,To some extent,Definitely disagree,,,,,None of the above,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Renting from private landlord,,Don't know,Yes,Some months but not every month,Some months but not every month,Never,0,,0,0,,,,,,,,Low fuel-security,0,Almost every month,Almost every month,Never,Working full-time,,,,,,,,"£24,301- £37,900 p.a.",1862731,28/11/2022 01:31,28/11/2022 01:35,4,27/11/2022,1,E09000019,E02000562,4
l3qd8jhkswo89a3dcql3qddgjs0vqpuv,1,Prefer not to say,50 to 54,No,Living with partner/ spouse (NO children or children have left home),8,Better,Some of the time,Some of the time,To some extent,Definitely disagree,,,,,None of the above,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Owning the house outright,,Don't know,No,Never,1 or 2 months,Never,0,,0,0,,,,,,,,High fuel-security,0,Never,,Some months but not every month,,Working part-time,,,,,,,Prefer not to say,6144250,22/11/2022 16:43,22/11/2022 16:47,4,22/11/2022,1,E09000033,E02000976,3
l42idrn7i931yootyzl42idr13c8q1wt,1,Female,60 to 64,Yes,Living on my own (NO children or children have left home),6,Worse,Some of the time,Some of the time,Not at all,Tend to agree,,,,,None of the above,,Sometimes true,Sometimes true,Sometimes true,No,,No,No,No,No,,,,,,,,,,Low food security,Renting from private landlord,,E,No,Never,Almost every month,Never,1,365,0,0,,,,,,,,Low fuel-security,0,Almost every month,Almost every month,Almost every month,,,Unemployed,,,,,,"Less than £14,900 p.a.",6464529,25/11/2022 15:07,25/11/2022 15:21,14,22/11/2022,1,E09000021,E02000610,7
l4i7mwonuhlkecgcsal4i7mwoi0b3153,1,Female,20 to 24,No,"Living with other adults that are non-family members, such as friends/ flatmates",7,The same,Some of the time,Hardly ever or never,To a large extent,Tend to disagree,,Neighbours,Close family or friends,,,,Sometimes true,Sometimes true,Never true,Yes,Some months but not every month,No,No,Yes,No,,,,,,,,,,Low food security,Living in student accommodation/ student halls,,Don't know,No,1 or 2 months,1 or 2 months,Never,0,,0,0,,,,,,,,High fuel-security,0,Never,Some months but not every month,Some months but not every month,,,,,,,Student,,"Less than £14,900 p.a.",6723160,28/11/2022 07:04,28/11/2022 07:21,17,27/11/2022,1,E09000022,E02000621,2
l58mdhy1rxl0kl58m7ekhadz3chpmct8,1,Male,25 to 29,No,"Living with other adults that are non-family members, such as friends/ flatmates",3,Better,Some of the time,Some of the time,To some extent,Tend to agree,,,Close family or friends,,,,Sometimes true,Never true,Sometimes true,Yes,Some months but not every month,No,No,Yes,Yes,,,,,,,,,,Low food security,Renting from private landlord,,D,No,Some months but not every month,Never,1 or 2 months,0,,0,0,,,,,,,,Marginal fuel-security,0,1 or 2 months,Never,Never,Working full-time,,,,,,,,"£37,901- £58,900 p.a.",1948618,22/11/2022 15:32,22/11/2022 15:35,3,22/11/2022,1,E09000007,E02000181,5
l5f1aigjbxdj3nzl5ferzxpe4n4glo6j,1,Female,35 to 39,Yes,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",3,Worse,Often,Often,Not at all,Tend to disagree,,,,,None of the above,,Sometimes true,Sometimes true,Never true,No,,No,No,No,No,,,,,,,,,,Marginal food security,Living in student accommodation/ student halls,,G,Don't know,1 or 2 months,Never,1 or 2 months,0,,0,1,,,,,,,,Marginal fuel-security,0,Never,1 or 2 months,1 or 2 months,,Working part-time,,,,,,,"£14,901- £24,300 p.a.",6177878,23/11/2022 07:42,23/11/2022 07:46,4,22/11/2022,1,E09000004,E02000068,4
l6ging73jqzapp72nful6gikcgw04bzh,1,Female,25 to 29,No,Living on my own (NO children or children have left home),7,The same,Often,Often,To some extent,Tend to disagree,,Neighbours,Close family or friends,,,,Sometimes true,Never true,Sometimes true,No,,No,No,No,No,,,,,,,,,,Marginal food security,Buying the house on a mortgage,,C,No,Some months but not every month,Almost every month,Never,1,60,0,0,,,,,,,,Low fuel-security,0,Some months but not every month,Some months but not every month,Some months but not every month,Working full-time,,,,,,,,"£37,901- £58,900 p.a.",6568212,22/11/2022 16:00,22/11/2022 16:05,5,22/11/2022,1,E09000032,E02000936,5
l6nb5aequswl66ndu3iqbxcwjre87ed6,1,Male,40 to 44,No,Living with partner/ spouse (NO children or children have left home),7,Better,Hardly ever or never,Hardly ever or never,To some extent,Definitely disagree,,,,Community or faith group,,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Buying the house on a mortgage,,B,No,Never,1 or 2 months,Never,1,60,1,0,,,,,,,,Low fuel-security,0,Almost every month,Some months but not every month,Some months but not every month,,,Unemployed,,,,,,"£37,901- £58,900 p.a.",5421339,22/11/2022 16:39,22/11/2022 16:46,7,22/11/2022,1,E09000030,E02000891,2
l6sj8c4urigrqsl6slcf0j3lvzrxa2vf,1,Female,20 to 24,Yes,Living on my own (NO children or children have left home),8,Better,Some of the time,Some of the time,To a large extent,Definitely disagree,,,Close family or friends,,,,Never true,Never true,Sometimes true,No,,No,No,No,No,,,,,,,,,,Marginal food security,Living in student accommodation/ student halls,,Don't know,Yes,Some months but not every month,Never,Some months but not every month,0,,0,0,,,,,,,,Low fuel-security,0,Some months but not every month,Some months but not every month,Some months but not every month,,,,,,,Student,,Prefer not to say,4990000,27/11/2022 13:14,27/11/2022 13:17,3,27/11/2022,1,E09000007,E02000186,4
l7i65az4zzguh1e26l7i65o6s37h5uce,1,Male,50 to 54,Yes,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",10,Better,Often,Often,To a large extent,Definitely agree,,,Close family or friends,,,,Sometimes true,Sometimes true,Sometimes true,Yes,Only 1 or 2 months,Yes,Yes,Yes,No,,,,,,,,,,Low food security,Living in rented accommodation arranged by the Local Authority,,Don't know,No,Never,Almost every month,Never,1,2,0,0,,,,,,,,Marginal fuel-security,0,Never,Never,1 or 2 months,,,,,,Not working- long term sick or disabled,,,Prefer not to say,6725888,27/11/2022 12:57,27/11/2022 13:03,6,27/11/2022,0,E09000010,E02000299,2
l7jzkbp6gc3uipt0xtiel7jzkbpxfwz9,1,Female,35 to 39,No,Living with partner/ spouse (NO children or children have left home),7,Much better,Some of the time,Some of the time,To some extent,Definitely agree,,,,,None of the above,,Never true,Never true,Never true,,,,,,,,,,,,,,,,High food security,Buying the house on a mortgage,,D,No,1 or 2 months,Some months but not every month,Never,0,,1,0,,,,,,,,Low fuel-security,0,Some months but not every month,Some months but not every month,Never,Working full-time,,,,,,,,"More than £58,900 p.a.",54717,27/11/2022 17:01,27/11/2022 17:04,3,27/11/2022,1,E09000022,E02000622,6
l7zesx1ba61k7yn6hsvtl7zesxrrp3tm,1,Prefer not to say,50 to 54,Prefer not to say,Living on my own (NO children or children have left home),5,Worse,Some of the time,Some of the time,To a large extent,Definitely disagree,,,Close family or friends,,,Too Good to Go,Sometimes true,Sometimes true,Sometimes true,Yes,Only 1 or 2 months,Yes,No,No,No,,,,,,,,,,Low food security,Living in rented accommodation from Housing Association,,Don't know,No,Never,Almost every month,Never,1,100,0,0,,,,,,,,Low fuel-security,0,Some months but not every month,Almost every month,Almost every month,Working full-time,,,,,,,,"£24,301- £37,900 p.a.",5552625,22/11/2022 22:23,22/11/2022 22:28,5,22/11/2022,1,E09000032,E02000944,4
